content_id,title,중분류,소분류,latitude,longitude
yongsan_179,ABC마트 ST 이태원점,면세점,사후면세점,37.534545,126.991668
yongsan_180,나이키 이태원BB타운점,면세점,사후면세점,37.534575,126.992155
yongsan_181,나이키 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_182,닥스구두 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_183,정관장 한강로점,면세점,사후면세점,37.533443,126.971619
yongsan_184,올리브영 숙대입구역점,면세점,사후면세점,37.543728,126.971928
yongsan_185,정관장 한남점,면세점,사후면세점,37.534484,127.008192
yongsan_186,한스양복,면세점,사후면세점,37.533884,126.988816
yongsan_187,리버클래시 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_188,뉴발란스 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_189,비너스 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_190,이태원포스트,면세점,사후면세점,37.534603,126.992885
yongsan_191,뉴패션양복점,면세점,사후면세점,37.534603,126.992885
yongsan_192,러쉬 이태원역점,면세점,사후면세점,37.534814,126.993735
yongsan_193,ZARA 아이파크몰 용산점,면세점,사후면세점,37.529772,126.964742
yongsan_194,올리브영 신용산역점,면세점,사후면세점,37.528817,126.966654
yongsan_195,올젠 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_196,ZARA 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_197,이태원 블링크 안경,면세점,사후면세점,37.533843,126.992754
yongsan_198,디젤,면세점,사후면세점,37.536481,127.000501
yongsan_199,소다 롯데아울렛 서울역점,면세점,사후면세점,37.554728,126.969526
yongsan_200,올리브영 동부이촌점,면세점,사후면세점,37.520592,126.974399
yongsan_201,정관장 동부이촌점,면세점,사후면세점,37.519947,126.974430
yongsan_202,테일러블,면세점,사후면세점,37.534218,127.000762
yongsan_203,아디다스 퍼포먼스 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_204,K2 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_205,비비안 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_206,리스트 롯데아울렛 서울역점,면세점,사후면세점,37.554728,126.969526
yongsan_207,크록스 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_208,쌤소나이트 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_209,폴햄 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_210,SJSJ 롯데아울렛 서울역점,면세점,사후면세점,37.554728,126.969526
yongsan_211,블랙야크 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
yongsan_212,파이너스뮤지엄 롯데아울렛 서울역점,면세점,사후면세점,37.554838,126.971733
